"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Antigua and Barbuda","ATG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","323050296.77667","337211619.784609","364457459.908829","394202403.283718","409240894.491539","408897081.95147","430830387.966","474624277.923985","510903578.091765","569625959.491973","607371476.614152","639035409.206963","672599304.048187","692855618.538791","707938207.939795","716138442.168796","753951063.866862","804286308.323653","769223495.050255","820029307.591293","864894192.88853","905815050.43184","939401717.9403","1002264060.83641","952611150.462145","962366849.462094","1020666153.11379","1079216260.64448","1148419979.87272","1294596702.53548","1414468855.77554","1414042630.08233","1242836906.965","1148700000","1126201416.73822","1164186683.67089","1157191360.67478","1201115192.6865","1247061369.26107","1315622165.26087","1357005634.12294","1457277455.93212","1525046719.53129",
"Australia","AUS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","199141381769.101","204091617185.945","206736452863.205","219584333490.541","234908099780.909","248963973009.967","254895654418.547","270960496907.683","284768320797.671","304828063168.661","326690962964.216","339770765883.808","353064828139.625","362291802780.238","377158636077.584","382250175142.691","392141430521.058","406248756708.994","409891933379.412","426465929775.058","439405197000.999","454072362099.714","469185708826.909","458767636585.998","479785018355.809","504970089794.75","525356980829.651","538770844004.647","569700215927.299","591717474599.488","612845441833.156","610411025719.071","612929148885.66","637626569147.174","663021292194.679","688455180927.3","715157730675.842","743524438064.517","777553274793.62","817003103115.573","849136627866.895","865532458792.994","900165675800.263","927044087154.522","964640841002.251","995549478150.429","1023370937765.92","1062712484487.84","1101585578897.59","1122922429785.22","1146138465603.81","1174365405253.44","1220378941628.1","1251924213148.07","1283636898773.05","1311782435234.01","1348127423067.24","1380045920527.73","1420623874171.95","1447570633486.51",
"Austria","AUT","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","91836704603.8272","96922602310.0595","99489767156.2721","103606919937.48","109952174211.113","113778702199.799","120199076680.091","123814722359.088","129352104013.722","137470070238.14","146159749334.712","153635774723.2","163173269957.102","171153153430.917","177900247172.082","177253160456.394","185368599583.233","194785288854.208","194374966805.269","204787050325.414","208332908241.25","208032295395.5","212216354005.19","218525732918.778","218637782550.416","224100837798.389","229258278296.628","232369698320.641","240028325237.241","249358405698.537","260194628169.57","269149557913.925","274784270415.639","276231859963.627","282867277308.386","290414130050.787","297237508346.442","303460471006.619","314328682652.371","325507251810.694","336495472200.435","340759435782.358","346387261608.152","349648396949.29","359211700961.583","367272646184.907","379958397036.836","394121024465.176","399876861217.528","384823184161.595","391892746544.69","403346977095.66","406091533760.531","406195106237.474","408881164188.391","413029270083.549","421631052473.627","432072509042.657","442527642505.434","449665433392.684",
"Azerbaijan","AZE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22672997489.2598","22514286465.4053","17426057713.9502","13400638502.3469","10760712620.576","9490948560.19303","9614330840.70045","10171962030.6465","11189158352.2522","12017156024.0878","13351060283.0959","14672815268.5084","16057770026.7758","17696995366.1973","19334640158.1058","24740902926.3267","33268154327.4079","41739296291.7775","46160087685.6421","50484860818.0919","52902703376.1056","52070545110.5105","53217627468.0711","56327354699.9012","57903160570.3635","58510881089.1125","56718342640.9299","56805470322.5841","57657780568.97","58937036212.3055",
"Burundi","BDI","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","597069961.546072","514995918.26075","561670811.689447","584898188.110763","621589073.145239","646248914.035703","676060330.530198","769502134.875392","767209913.650335","756012169.305851","917236835.232064","942431759.973465","882078760.642376","942845613.83468","935992638.90365","942525120.939625","1017386695.90918","1134075385.27516","1123408544.50219","1142112790.67558","1153431764.87503","1293726848.95154","1280096145.19707","1327655902.79585","1329720991.95726","1486404412.37271","1534715238.11495","1619172092.81896","1700633035.37323","1723583116.10835","1783905459.60785","1873044297.81182","1891962014.70775","1773903584.96368","1705963077.72701","1570850801.9071","1445182737.78688","1422204332.30147","1489759038.01604","1474712471.78425","1462076190.64843","1492133656.90531","1558481669.61629","1539410093.67007","1613819909.24558","1628344288.44335","1716499707.8749","1775752462.2736","1862084450.49236","1933081018.33396","2032135246.50004","2114083183.17763","2208090293.90699","2316820971.52452","2415069278.13462","2320881501.75984","2306955748.5603","2318490757.97052","2355816907.6942","2399222284.76422",
"Belgium","BEL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","119183391159.061","125116844592.018","131637938922.824","137366274781.704","146922413448.34","152153820819.748","156955635615.515","163026910242.566","169864470181.686","181126144478.07","191254395231.942","198877465127.775","209409229017.889","222773102104.405","232943269121.097","228363740642.103","241272562494.73","242783302275.89","249682952635.586","255528212921.113","266884024750.166","266138661424.902","267722151648.701","268557023808.128","275180667564.013","279726082161.776","284824823336.936","291394761866.192","305157945286.058","315744383425.441","325650555483.959","331619972056.74","336695929196.36","333457341656.811","344217914924.963","352426676458.87","357083919174.657","370630414925.168","377901593439.986","391289642724.156","405832615318.929","410295216338.301","417298500905.365","421629863437.465","436687079147.938","446825806298.355","458230381597.117","475079138083.189","477202345354.765","467559394365.929","480951629493.033","489101342571.806","492716925962.252","494979620293.941","502792988581.692","513013709008.398","520597594612.964","530509055114.69","538401092626.989","545962694773.585",
"Benin","BEN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1731160070.26564","1785540663.26202","1724360722.58457","1805923467.1607","1926031086.82843","2027992530.71234","2100510759.84221","2123162639.85085","2204741674.56796","2268183071.63105","2315764053.89314","2281100728.89167","2427692645.79023","2517666948.67027","2601739707.25308","2474375561.00706","2496257857.98321","2620662955.33145","2653554320.37734","2826983928.11201","3018703302.80502","3319192007.80099","3393378151.27826","3245840084.55065","3503229995.76774","3767034594.22012","3848822249.30111","3791089802.04272","3920185709.15037","3808297317.25955","4150135201.30967","4325511590.52198","4453447715.1324","4713358587.62772","4808587305.63231","5099275960.40803","5319783136.48257","5624856121.67752","5847657355.40308","6160007012.49151","6520842618.31787","6868608004.33002","7187519594.36151","7435027349.87739","7764375607.9695","7897392139.47095","8208844659.68716","8700254776.298","9126269457.94962","9337934308.08352","9535344283.47295","9817948328.01509","10290311747.0947","11030332696.1176","11731605852.3696","11940211526.2241","12338975597.609","13038787442.989","13912028868.5986","14867185272.7071",
"Burkina Faso","BFA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1297734645.30028","1350214099.68275","1432966004.97076","1414795761.4135","1447092991.02376","1501569463.37003","1509642097.25701","1642842574.49492","1693290556.11035","1727597995.0309","1729619623.4826","1754065027.42702","1794610218.45666","1802673893.98064","1952051140.92173","2010581108.34347","2182182094.2177","2190263883.24583","2291187410.13903","2375150756.84736","2394077831.41515","2495953106.64222","2734621050.31141","2744082421.83391","2695273518.72071","2924839801.9332","3157521417.39091","3150059032.51503","3332623632.19059","3404283947.578","3383758550.11764","3690664924.80548","3699253499.29489","3827298902.63213","3877628161.5283","4099287884.40535","4550813945.33423","4838281341.35759","5191849376.84677","5576263196.37053","5681569470.86579","6057314712.70286","6320987431.01762","6814182089.21737","7119351972.44081","7736021215.098","8219767361.98599","8557713152.53697","9054059808.64232","9322236610.87221","10109618964.2848","10779134810.0671","11474677064.8568","12139359850.1689","12664611209.3183","13160121367.0359","13944292429.1903","14802857103.9927","15812355334.6188","16711856819.8281",
"Bangladesh","BGD","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","17862545310.7226","18944687033.1706","19977746684.2347","19886669277.8428","22064814112.6956","22419232005.0757","22994691542.7769","22563342420.6917","24704480424.0584","25006087027.2168","26411392182.3557","24964184430.4711","21475757025.4792","22189972024.4145","24318424444.0714","23324235189.0411","24644704390.5094","25303471152.2294","27093397642.2551","28394323597.912","28626913390.8931","30697768187.1802","31352959198.5596","32569782092.7714","34134209697.98","35274979988.1662","36747139850.6845","38133389635.1624","39054790276.5184","40162611478.0515","42420657179.7908","43899113723.2774","46288404442.7889","48469311189.3945","50354828679.5772","52933639390.898","55327785139.4964","57811945426.5395","60804885377.3372","63644568604.0114","67013463192.5145","70415929567.4442","73115059421.307","76580396941.519","80592852042.2251","85860356477.7026","91588877878.6561","98053769823.2911","103950517391.466","109194950718.059","115279077465.226","122731159566.449","130734992458.51","138596885516.148","146997325017.061","156629530356.74","167771375851.352","179992151721.964","194146210562.861","209974339446.154",
"Bulgaria","BGR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","32356104638.135","33941606136.9399","34733995195.2498","35925477486.1364","37145666075.1691","38142448011.7645","39747330418.8124","42153838039.5605","46767445806.2123","45228851992.9935","41105167000.3594","37633689651.1982","34896821721.5945","34380273816.2054","35005311043.9773","36006529255.4921","37856874274.2227","32483918217.8464","33875945684.9014","31070673120.7893","32556485861.1797","33799245072.7903","35811325582.0945","37656268316.9416","40082032284.9603","42949317232.4068","45870801073.063","48878587260.5632","51853155804.157","50077926292.5922","50363282117.233","51547313036.726","51733183981.5504","51898076139.3704","52881309657.8394","54991023398.154","57087027057.9473","59088843474.1027","60911255558.0358","62964948919.4966",
"Bahrain","BHR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","7624228989.3617","7218871808.51064","6673398138.29787","7098919148.93617","7454123936.17021","7099436702.12766","7183422606.38298","7930427393.61702","8485556648.93617","8516444680.85106","8894404255.31915","9893245744.68085","10555103723.4043","11913546276.5957","11883762234.0426","12350793085.1064","12858411436.1702","13256122074.4681","13891090691.4894","14488407446.8085","15256303191.4894","15636329787.234","16159920212.766","17177420212.766","18376569148.9362","19620478723.4043","20889335106.383","22621888297.8723","24034627659.5745","24645079787.234","25713271276.5957","26223297872.3404","27200930851.0638","28674361702.1277","29921808510.6383","30778484042.5532","31847579787.234","33061515957.4468","33708590425.5319","34321941489.3617",
"Bahamas, The","BHS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1942538097.61501","2149750529.0866","2374441850.10686","2624329421.19867","2899925138.96336","3202259632.40815","3492766343.41697","3828006034.15819","4150391651.56298","4523165825.37743","4267622809.06613","4337036067.07757","4185355346.26048","4502084992.61467","3747795359.80247","3193004478.75685","3358567667.13532","3666042159.83818","4185869346.1863","5280026115.10759","5622978696.80712","5104179904.68398","5446103697.7852","5642002872.57775","6441539485.04817","6752613028.89395","6873957500.38138","7079112091.74079","7242618886.04269","7729853744.61442","7606466024.82857","7288379986.19989","7009557035.57321","7031132893.131","7252537335.06422","7570107965.2358","7889833778.37589","8052541057.62784","8432337724.51058","9034753608.33579","9409627491.5515","9656694580.55466","9917865835.46098","9792432526.23075","9878884030.66906","10214307272.5531","10471385975.1648","10622859247.2052","10375987506.7603","9942763009.20556","10095760000","10157636655.8148","10471190626.6066","10162071068.0863","10236918868.1666","10298092269.1718","10344048017.492","10350943821.597","10513014752.9206","10702170761.8407",
"Bosnia and Herzegovina","BIH","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2761373535.78","3335739187.01771","6303134938.82567","8470756181.36833","9792193876.32256","10732244458.6372","11322517958.1541","11820708666.8429","12447206301.0377","12945094517.0988","13734740984.6508","14937802224.6929","15747023331.9991","16669103680.5508","17573690343.3046","17045995873.5338","17176781336.7644","17332787990.217","17211525326.4412","17616174430.5567","17818413753.9673","18368686844.0183","18946501862.1235","19347876232.9658","20066891828.4577","20585144968.7507",
"Belarus","BLR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31609653425.5172","31230338984.7805","28232226006.2732","26086576309.6993","23034445864.7262","20638863381.5805","21216752516.0832","23635463449.7575","25620840351.69","26491948709.2598","28028482645.7397","29352914216.1911","30833847251.5793","33005534486.7779","36784583396.0769","40242334795.7495","44266566187.7427","48073493773.2612","52976989868.7029","53082941363.8271","57222490768.7143","60300321142.6581","61317669289.2363","61932974220.8466","63002175707.5324","60589462935.5585","59058702608.9202","60554177331.8333","62461148027.2823","63224483611.5246",
"Belize","BLZ","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","99372344.0150094","104233914.563269","109333717.456744","114752771.215343","120490271.969981","126431094.183865","132462925.861997","138970992.553679","149209298.895143","156828484.919741","164368317.581822","170876384.273504","188337052.407755","198416652.024182","225321920.617052","233417341.655201","233337930.873463","248496949.560142","268179913.779445","288339055.593079","327082256.893193","330790620.088433","330434324.093892","323352521.847423","329729243.839316","333067798.312736","348187267.656258","385566229.790309","423304339.781587","478372937.39895","533115012.199522","594231511.361268","665892535.768189","707681899.820722","708802608.163436","713368986.499896","723557395.538879","749205125.786951","777230241.43423","845463280.967271","955513245.778612","1000242818.42818","1047671094.43402","1145456026.68334","1200291382.11382","1223603585.57432","1282630544.09006","1289118915.98916","1334135584.74046","1337063964.97811","1377200000","1403612841.35918","1437547600.5837","1456266266.41651","1509206787.57557","1552213783.61476","1553534425.68272","1582531131.95747","1615604602.8768","1619911044.40275",
